1,엔제리너스,
2,카페 띠아모,
3,스타벅스,
4,빈스빈스,
5,셀렉토 커피,
6,만랩 커피,
7,커피 빈,
8,드롭 탑,
9,폴 바셋,
10,더카페,
11,토프레소,
12,빽다방,
13,이디야 커피,
14,커피 베이,
15,커피 마마,
16,할리스 커피,
17,커피에 반하다,
18,탐앤탐스,
19,파스쿠찌,
20,투썸 플레이스,
21,커피 스미스,
22,매머드 커피,
23,컴포즈 커피,
24,메가 커피,
25,커핀 그루나루,
26,카페 베네,
27,요거 프레소,
28,더 벤티,
29,감성커피,
30,커피명가,
31,달콤 커피,
